E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,-2.4635628316e+02,-2.1640673456e+02,-3.7745668527e+02
5.0000000000e+02,-9.7172042501e+01,+1.4011999224e+02,+4.7002215288e+02
5.0000000000e+02,+9.3758338458e+01,-1.5727258191e+02,+4.6526503331e+02
5.0000000000e+02,-1.8065526615e+02,+2.3103442138e+02,-4.0494890199e+02
5.0000000000e+02,+1.5338522342e+02,+2.8987964706e+02,+3.7741171912e+02
5.0000000000e+02,+1.8601509481e+02,+1.0708955564e+02,+4.5158283166e+02
5.0000000000e+02,+3.2007754001e+02,+3.7813601566e+02,+6.7530469502e+01
5.0000000000e+02,-4.3630769044e+02,+2.3607416640e+02,+6.2461424049e+01
5.0000000000e+02,+4.0214507456e+02,-6.3787664130e+01,+2.9018496718e+02
5.0000000000e+02,-3.8261394611e+02,+1.6405091699e+02,-2.7693087070e+02
5.0000000000e+02,-3.7403891322e+02,-3.0761755636e+02,+1.2435100597e+02
5.0000000000e+02,+2.0126121009e+02,+1.9384728603e+02,+4.1462512862e+02
5.0000000000e+02,-1.9162819194e+02,+4.4452106160e+02,+1.2520584697e+02
5.0000000000e+02,+4.4310885348e+02,+1.4841536967e+02,-1.7783212389e+02
5.0000000000e+02,-8.7740199715e+01,+4.0983951034e+02,+2.7263542578e+02
5.0000000000e+02,-1.7086388881e+02,+2.7218524017e+02,+3.8303729427e+02
5.0000000000e+02,+4.1194986792e+02,-1.1737676350e+02,-2.5790859618e+02
5.0000000000e+02,-2.8001588618e+02,-5.8443512988e+00,+4.1419052297e+02
5.0000000000e+02,+2.6553941485e+02,+3.2060762332e+01,+4.2244262208e+02
5.0000000000e+02,+1.2603453480e+02,+3.1735285410e+02,+3.6523869497e+02
5.0000000000e+02,+2.1010396919e+02,+1.5403513091e+02,+4.2676263057e+02
5.0000000000e+02,+4.8527669952e+01,-1.8889617692e+02,+4.6039129213e+02
5.0000000000e+02,+4.2110401246e+00,+1.9555063467e+02,-4.6015112593e+02
